,Ana,Eth,Glu,Nit
IDH1,1,0,1,0
ATO2,0,1,2,0
ACC1,1,1,1,0
COQ2,1,1,1,0
RPL25,0,1,2,0
TRM13,0,0,1,0
SKM1,1,1,1,0
SHR5,2,2,2,0
ZEO1,2,2,2,0
PKH2,0,0,1,0
PHM7,1,1,2,1
IRA2,0,0,1,0
GPD2,0,2,1,0
RPP2A,0,0,1,0
SIN3,0,0,1,0
ROD1,1,0,1,0
IRC23,0,0,1,0
CYT1,1,1,2,2
WHI5,0,1,1,0
LPX1,0,1,1,0
YVC1,0,0,1,0
RPS7A,0,1,1,0
RAS1,0,0,1,0
RGS2,0,2,1,0
PDR5,1,1,1,0
WTM1,0,0,1,0
PAC1,0,0,1,0
MOD5,0,0,2,0
CPA1,1,1,1,0
FAA1,1,2,2,1
MYO2,0,0,1,0
CIR2,1,0,1,0
FIT2,0,0,1,0
YGK3,0,1,2,0
MDH2,0,0,1,0
PTH4,1,1,1,0
MDY2,2,2,2,0
IZH4,0,0,1,0
ADH1,0,0,1,0
MAM3,0,2,1,0
DDR2,0,1,2,0
RPS15,0,0,1,0
YAP7,1,0,0,0
SLG1,0,0,1,0
CIN5,1,0,1,0
HMS1,1,1,2,1
TMC1,0,0,1,0
YNG1,1,1,1,1
GYP1,1,0,1,0
TCB1,0,0,1,0
RKI1,0,2,1,0
CRC1,0,0,1,0
ATG40,1,1,2,0
GAC1,0,1,1,0
HRK1,0,0,1,0
TPO4,0,0,2,0
FRT1,0,0,1,0
YOR342C,1,1,2,0
TYE7,1,1,1,0
PUT4,2,3,3,2
GDH1,0,1,0,0
DIP5,1,0,1,0
BBP1,0,1,1,0
FAS2,0,0,1,0
USV1,1,2,2,0
SAR1,1,1,1,0
DAP1,1,1,1,0
ISU1,1,1,1,0
HOS3,1,0,1,0
CAR1,1,1,1,0
YDC1,0,0,1,0
ALD6,1,1,1,0
ERG10,1,1,1,0
RMI1,1,2,1,0
HAA1,0,0,1,0
SUT2,1,1,1,0
YME1,0,1,0,0
CSR2,0,0,1,0
GLN1,0,1,1,0
SPO24,1,1,1,0
ROX1,2,2,2,1
CTR1,0,0,1,0
ASN1,0,0,1,0
NCE102,2,2,2,1
QCR2,0,0,1,0
AQY1,2,2,2,0
CLN2,0,1,1,0
ATG41,0,1,1,0
RPL36B,0,1,0,0
NAB3,1,1,1,1
CUP9,1,1,1,0
OYE3,1,1,1,0
GIP3,1,1,1,0
IDI1,1,0,1,0
EEB1,1,0,1,0
SEC62,1,0,1,0
PDR12,0,0,1,0
SUR1,0,1,1,0
SVL3,0,0,1,0
SKS1,1,2,1,0
IRC15,0,0,1,0
MIN8,1,1,1,1
CMR3,2,2,2,0
EAF3,0,1,0,0
APL4,0,0,1,0
YPR063C,2,2,2,1
TKL1,0,0,1,0
NOC4,0,0,1,0
YPR145C-A,1,0,1,0
YPR148C,1,1,1,1
SUE1,1,1,1,1
RPC82,0,0,1,0
HPA2,0,1,1,0
ATP1,0,0,1,0
KIP1,0,0,1,0
ECM13,2,2,3,1
PRE7,0,0,1,0
YBL029W,2,2,2,0
YBR016W,1,1,1,0
YRO2,0,1,1,0
MNC1,1,1,1,0
ECM33,0,0,1,0
TEC1,1,1,1,1
SND3,0,0,1,0
RAD16,1,1,2,0
CKS1,0,1,1,0
APD1,0,0,1,0
AMN1,0,0,2,0
SWD3,1,0,1,0
ECM31,1,0,1,0
YPC1,2,0,2,0
MCM7,1,1,1,0
COS111,1,1,1,0
ERV15,1,0,0,0
RPL23A,0,0,1,0
PRX1,0,0,1,0
COR1,2,2,3,1
FUI1,0,0,1,0
PET9,1,1,1,0
YBL029C-A,3,3,3,0
MNN2,1,1,1,0
REG2,1,1,1,0
RFS1,1,1,1,0
NRG2,0,0,1,0
TIP1,1,1,1,0
SLM4,0,0,1,0
VID24,0,0,1,0
CYC8,1,1,2,0
HSL7,0,1,1,0
TBS1,0,0,1,0
ICS2,0,1,2,0
UMP1,1,0,1,0
EHT1,1,1,1,0
MIN7,1,1,1,0
ERT1,1,0,0,0
PHO89,0,1,0,0
ADF1,0,0,1,0
PRD1,0,1,1,0
GFD2,1,0,1,0
KCC4,1,0,1,0
SAT4,0,0,1,0
TAH1,1,1,1,1
YCR061W,1,1,1,1
KRR1,0,0,1,0
MIC10,0,1,1,0
SRO9,1,0,1,0
AGP1,1,0,1,0
YCP4,0,0,1,0
ADY2,0,0,1,0
PMP1,0,1,1,0
INH1,0,1,1,0
YDL180W,0,1,1,0
PAR32,1,1,1,1
LYS21,0,0,1,0
PCL2,1,1,1,0
YDL124W,0,0,1,0
YDL086W,1,2,1,0
NDE2,0,1,1,0
SIT4,1,1,1,0
SNQ2,1,1,1,0
RSM10,0,1,1,0
HEM12,1,0,0,0
SNF11,2,2,2,0
SED1,1,1,1,0
GIS1,0,1,2,0
COX26,1,1,1,0
ADR1,1,1,1,0
YDR222W,1,1,1,0
LYS4,1,0,1,0
CCC2,0,0,1,0
BSC2,0,1,1,0
EFT2,0,2,2,0
PDR15,1,1,1,0
IZH1,1,1,1,0
SMT3,1,2,1,0
SDH7,0,1,0,0
SNA2,1,1,2,0
RBA50,1,1,2,0
STL1,1,1,1,0
SOR2,0,0,1,0
FMP45,0,0,1,0
PRR2,0,0,1,0
GGC1,0,0,1,0
DLD1,1,1,1,1
HNT1,0,0,1,0
RRP42,1,1,2,0
TMA17,1,1,2,0
LUC7,1,2,1,0
YDL085C-A,0,2,1,0
MRK1,1,0,1,0
MDH3,0,1,0,0
KNH1,0,1,1,0
STP4,1,1,1,0
BSC1,1,1,1,0
LYS14,0,0,1,0
NRG1,1,0,1,0
BAP3,1,0,0,0
DET1,0,0,1,0
IPT1,2,2,2,0
UME6,0,2,1,0
RTN1,1,0,1,0
YAP6,1,1,2,0
SWM1,1,1,2,0
PMP3,1,1,1,0
DPP1,1,0,0,0
GIC2,1,1,1,0
HXT7,1,0,1,0
ATO3,0,2,2,0
APT2,0,0,1,0
PKH1,1,1,1,0
SAM2,1,0,1,0
PSP1,1,1,1,1
GNP1,1,1,1,0
EMI1,0,1,0,0
AGE1,0,0,0,1
YDR524C-B,1,1,2,1
QCR7,1,1,1,1
DSF1,1,1,0,0
PCM1,1,1,1,0
HAT2,1,1,1,0
IES6,1,1,1,0
UTR4,1,1,1,0
HYP2,3,3,3,2
RIP1,1,1,1,1
GTT3,0,1,1,0
MNN1,1,1,1,0
ISC1,0,1,0,0
YER034W,1,1,1,0
EDC2,1,1,1,0
SPO73,1,1,1,0
THO1,1,1,1,0
IES5,0,0,1,0
COX15,1,1,1,1
LSM5,1,1,1,1
HXT13,0,1,1,0
PRB1,1,1,1,0
SOM1,1,1,1,0
SDD1,1,1,1,0
GLY1,1,1,1,0
CYC7,1,1,1,0
ANP1,3,3,3,2
YEL025C,1,1,1,1
PMP2,0,1,1,0
SPC25,0,1,0,0
ERG28,1,0,1,0
CAJ1,1,0,1,0
PIC2,1,1,1,1
YER053C-A,2,3,3,2
FCY2,1,1,1,0
GPP2,1,1,1,0
VHR2,1,1,1,0
PTP3,0,1,1,0
MET6,0,0,1,0
YER137C,0,0,1,0
FTR1,1,1,1,1
YER158C,0,0,1,0
GAT1,1,1,2,0
HSP12,1,1,1,0
SEC53,1,0,0,0
OTU1,1,0,0,0
FRS2,1,1,2,0
MDJ1,1,1,1,0
QCR6,1,2,2,1
PHO4,0,1,1,0
HXK2,0,0,1,0
PDE1,0,0,1,0
MIG2,0,0,0,1
COX13,1,1,1,1
ATG1,0,0,1,0
MPT5,0,0,1,0
AIM14,0,1,1,0
TIP20,0,0,1,0
SCS3,1,1,1,0
MET13,1,1,1,0
YGL117W,1,0,0,0
YGK1,1,0,1,0
TOS8,1,1,1,0
PUS2,1,1,1,0
PYC1,0,1,1,0
OLE1,3,3,3,2
ERG4,1,1,1,0
ORM1,0,0,1,0
SCM4,1,1,1,0
FMP48,3,2,3,0
MUP1,0,0,1,0
ERG25,2,2,2,1
CTT1,1,1,2,1
ASK10,0,0,1,0
CLD1,1,1,1,1
YGR122W,0,0,1,0
BTN2,0,1,1,0
CYS4,0,0,1,0
YGR161W-C,0,1,1,0
TIM13,0,1,0,0
YCH1,0,0,1,0
ADE3,0,0,1,0
YHB1,1,1,1,1
MPC3,0,1,1,0
SOL4,1,1,1,0
ENO1,0,1,1,0
YGR266W,1,1,1,0
YOR1,1,0,1,0
MAL13,0,0,1,0
COX4,1,1,1,0
TOS3,0,0,1,0
YIP5,0,1,1,0
RRT6,0,0,1,0
SOH1,1,1,1,0
