,Ana,Eth,Glu,Nit
FLC2,1,1,1,0
YAT1,2,2,2,0
ACS1,1,1,1,0
CYC3,0,1,1,0
MRS3,2,2,2,2
ASF1,0,1,0,0
SIP4,0,1,1,0
ARG3,1,1,1,0
RPL43B,0,1,0,0
SFC1,0,1,0,0
YMR1,1,1,1,0
BAT2,1,1,1,0
DPI8,2,2,2,2
NCA3,0,1,0,0
CPA2,1,1,1,0
JEN1,1,1,1,0
AVT3,1,1,1,0
YKL068W-A,1,1,0,0
NUP100,1,1,0,0
OAF3,0,1,0,0
NUP133,0,1,0,0
PTR2,1,0,0,0
PTK1,1,1,1,0
FAT3,0,1,1,0
MTR2,0,1,1,0
SDH1,1,1,1,0
FBA1,1,1,1,0
MAE1,0,1,0,0
LAS1,0,1,0,0
RPF2,0,1,0,0
ISA1,1,1,1,0
SPA2,0,1,0,0
FYV7,0,1,0,0
YLR112W,1,1,1,0
HOG1,1,1,1,0
CCC1,1,1,0,0
BOP2,0,1,1,0
EXG1,1,1,1,0
ORM2,1,1,1,0
ATG33,0,1,0,0
VPS36,0,1,1,0
HIF1,0,1,0,0
KNS1,0,1,0,0
COX19,0,1,0,0
YLR053C,0,1,1,0
GIS3,1,1,0,0
CCW12,1,1,1,0
ACS2,1,1,1,0
RNH203,1,1,1,0
ASP3-3,0,0,0,1
ACO1,1,1,1,1
DIC1,1,1,1,0
ILV5,0,1,0,0
PUN1,0,1,1,0
CAT2,1,1,1,0
HXT2,0,0,1,0
ARG80,0,1,1,0
ADH3,2,2,2,0
SNZ1,0,1,0,0
SPG4,1,1,1,0
MRPS8,0,1,0,0
GCV2,0,1,0,0
ICY1,2,1,1,0
MGL2,0,1,0,0
DML1,0,1,0,0
YHM2,1,1,1,1
HOR7,1,1,1,0
RRN11,1,1,1,0
ARA2,0,1,1,0
ISF1,1,1,1,0
RRB1,0,1,0,0
TPP1,0,1,0,0
AIM36,0,1,0,0
MRPS17,0,1,0,0
CMC4,2,1,1,0
CUS1,1,1,1,1
ADE4,0,1,0,0
SCW10,0,1,0,0
TOS6,0,1,0,0
RPS3,1,1,1,1
MFA2,1,1,1,0
MEP2,0,1,0,1
MLS1,0,1,1,0
DMA2,0,0,0,1
MET4,1,1,1,0
AVT4,0,1,0,0
AQR1,1,0,0,0
YIP3,0,1,0,0
NCE103,1,1,1,0
TIM23,1,0,0,0
RPL18B,0,1,0,0
PDR16,1,1,1,0
RHO5,1,1,1,0
DCP2,0,1,1,0
LEU4,1,1,1,0
RAS2,1,2,0,0
