Gene;CommonName;Nit;Glu;Eth;Ana
YIL033C;BCY1;91.20005016;120.2291654;100.1776819;95.82052126
YIL034C;CAP2;96.15046872;65.23675161;48.12008261;78.8831173
YIL035C;CKA1;47.21355503;33.89949601;24.48093005;44.31388434
YIL036W;CST6;52.36935989;50.52231338;40.39344307;57.58285677
YIL037C;PRM2;17.34832352;11.30652009;7.641075894;11.98360407
YIL038C;NOT3;42.23885447;31.04266755;25.6175419;34.7835289
YIL039W;TED1;83.01014986;72.16586959;66.05366045;58.23266127
YIL040W;APQ12;52.7954823;41.47840637;34.33936189;42.7540668
YIL041W;GVP36;238.8778187;170.1486675;156.2993373;146.4443737
YIL042C;PKP1;51.00339009;40.59743828;36.24379333;29.41850656
YIL043C;CBR1;141.6896481;128.2081432;112.1046233;178.1988069
YIL044C;AGE2;54.04667242;34.84569612;29.97509003;49.30317802
YIL045W;PIG2;63.98717723;57.16828819;24.85289481;40.12470659
YIL046W;MET30;92.09261121;54.33654171;44.27910061;50.37296291
YIL046W-A;YIL046W-A;1.665846177;0.388101689;0.405697181;1.136288929
YIL047C;SYG1;118.5254119;87.98964466;84.28556626;90.7767453
YIL047C-A;YIL047C-A;162.0359659;116.9508409;123.7615889;133.0343805
YIL048W;NEO1;55.79888631;41.23971096;37.93298184;54.52309303
YIL049W;DFG10;11.82552481;12.25573191;11.49660273;18.58015241
YIL050W;PCL7;104.2268845;46.87089358;36.93174784;54.64010577
YIL051C;MMF1;267.5485764;174.0668561;122.8259698;200.5736947
YIL052C;RPL34B;220.7778117;216.2831813;147.2013773;269.888678
YIL053W;RHR2;303.5702549;272.5675544;172.3889271;391.6697061
YIL054W;YIL054W;0.506962238;0.714564642;0.64200101;2.475712282
YIL055C;YIL055C;13.40795832;34.12154538;30.45496331;19.53894825
YIL056W;VHR1;69.2758529;19.22696937;17.90443516;56.21277628
YIL057C;RGI2;1.283908481;713.6550658;641.0784925;262.7509271
YIL058W;YIL058W;16.07750502;9.472605365;6.5111081;9.16817817
YIL059C;YIL059C;125.6283706;13.81489692;9.054078648;16.42809302
YIL060W;YIL060W;93.12534364;8.261610627;5.463638408;10.99265392
YIL061C;SNP1;25.27266452;14.43979877;12.66365161;19.87186367
YIL062C;ARC15;133.0065792;99.7550388;64.36208898;78.99961202
YIL063C;YRB2;60.79446733;44.25436492;34.22015302;38.95537771
YIL064W;SEE1;20.22960742;25.71744911;26.97417471;28.34252491
YIL065C;FIS1;59.53622531;57.98386244;56.88355816;55.75313891
YIL066C;RNR3;3.399899774;8.895118721;4.755457936;8.167142331
YIL066W-A;YIL066W-A;19.04443236;16.20367551;11.75111126;24.47425285
YIL067C;YIL067C;21.4114402;18.33729179;13.74113931;26.44764372
YIL068C;SEC6;37.98233474;26.25202007;22.13453841;28.76548712
YIL068W-A;YIL068W-A;31.82503161;22.34112522;20.58356426;22.09653118
YIL069C;RPS24B;122.0684212;99.59558592;65.55576224;161.380983
YIL070C;MAM33;121.2757884;102.2556415;107.2116944;140.9310254
YIL071C;PCI8;36.4329843;22.02384599;13.77545676;13.91499118
YIL071W-A;YIL071W-A;43.28772253;29.24627021;18.42325173;18.01085492
YIL072W;HOP1;6.291419944;7.704781225;5.69093383;4.860844204
YIL073C;SPO22;10.9880103;11.32654552;9.81609681;9.089673134
YIL074C;SER33;229.5396374;125.0217846;77.34373633;279.6077555
YIL075C;RPN2;218.2421727;132.040358;117.4626346;155.8456904
YIL076W;SEC28;63.33762525;56.645841;42.76285274;70.84253289
YIL077C;YIL077C;33.85085256;33.99594953;21.74617588;27.55517887
YIL078W;THS1;180.9766689;147.8263332;134.6963761;207.7345664
YIL079C;AIR1;22.76140581;19.8411708;8.81417012;28.44464415
YIL080W;YIL080W;0.458440542;0.197723447;0.135573415;0.267598144
YIL082W;YIL082W;1.875873548;0.967193714;0.512253485;1.180453715
YIL082W-A;YIL082W-A;0.481372761;0.207614015;0.1423551;0.280984001
YIL083C;CAB2;41.82653725;47.95567053;78.76688733;87.76609655
YIL084C;SDS3;34.3498511;20.77042279;13.15450725;20.92519274
YIL085C;KTR7;57.02485665;34.81473499;32.33312938;44.02800861
YIL086C;YIL086C;23.5081813;20.0262998;13.35533442;22.34612597
YIL087C;AIM19;68.80135059;85.658034;55.93122742;61.91716599
YIL088C;AVT7;152.3858632;57.92287653;51.63173867;68.63364729
YIL089W;YIL089W;45.23471439;18.96380066;12.87305673;13.61391749
YIL090W;ICE2;38.71918772;37.6319624;32.68593285;36.67634001
YIL091C;UTP25;25.44476406;21.31453035;12.25152939;25.42210125
YIL092W;YIL092W;17.7292002;11.12010215;9.414639406;10.21896036
YIL093C;RSM25;53.5813292;42.11608832;40.39472787;54.83991581
YIL094C;LYS12;277.263246;257.9688357;197.2274907;314.2897628
YIL095W;PRK1;23.22839447;15.85402333;12.6407791;19.54250233
YIL096C;YIL096C;18.98631252;19.75021018;13.74021921;22.39011997
YIL097W;FYV10;35.95479401;29.106033;20.61654818;22.72379793
YIL098C;FMC1;57.94889112;28.93580443;28.01917304;34.88859536
YIL099W;SGA1;3.963389661;7.979136427;8.318480493;2.917330035
YIL100C-A;YIL100C-A;3.083157104;7.29963847;6.287978557;3.697659869
YIL100W;YIL100W;2.121930974;3.671846985;2.73192689;1.980672106
YIL101C;XBP1;33.42477548;57.71750098;52.13582869;24.10903081
YIL102C;YIL102C;6.264902926;9.291063699;7.632387318;9.862967935
YIL102C-A;YIL102C-A;25.43054978;23.26707549;18.7708286;30.1726728
YIL103W;DPH1;28.80398241;22.29284816;18.59495578;31.01236247
YIL104C;SHQ1;15.11494193;14.93631747;7.588760613;15.01861881
YIL105C;SLM1;44.75101542;45.37924136;34.01868247;39.36994863
YIL105W-A;YIL105W-A;71.5970192;76.64262793;68.60061924;71.13548553
YIL106W;MOB1;45.98731798;30.98384387;29.181493;43.35558878
YIL107C;PFK26;34.64658908;69.82384879;39.13095512;53.4773188
YIL108W;YIL108W;41.12935096;31.89972389;29.88386705;44.35761841
YIL109C;SEC24;108.1349686;72.32605546;68.06084575;105.9532759
YIL110W;HPM1;29.94927239;23.79641093;15.24266079;33.13193609
YIL111W;COX5B;64.3993891;15.63223979;5.017217319;79.55913707
YIL112W;HOS4;43.99930669;23.61821916;21.4557972;29.9748037
YIL113W;SDP1;11.63110994;12.69851254;8.380055658;8.18682488
YIL114C;POR2;23.89641569;13.81482495;7.984033963;25.15910381
YIL115C;NUP159;54.14741287;41.79644291;44.88600394;45.54493148
YIL115W-A;YIL115W-A;79.42654063;66.60742148;70.25231337;60.79546068
YIL116W;HIS5;126.8707504;90.2778955;77.817741;88.63961901
YIL117C;PRM5;10.41007788;76.26097433;38.53981139;116.6032113
YIL118W;RHO3;147.1852609;54.57401627;33.15093814;86.42822013
YIL119C;RPI1;129.8722679;36.59571493;37.4691131;33.22717184
YIL120W;QDR1;8.300578117;10.36312625;9.737592187;15.24113868
YIL121W;QDR2;4.53588421;7.605668604;11.40773675;11.13220302
YIL122W;POG1;22.32449613;23.56922325;9.035183907;30.00238414
YIL123W;SIM1;234.769396;108.7412721;112.3190803;272.7416654
YIL124W;AYR1;109.6786837;181.7688426;112.148401;84.28561951
YIL125W;KGD1;200.6590948;229.1305032;482.6659643;213.4575435
YIL126W;STH1;89.00589125;54.55524744;43.99337095;60.98246374
YIL127C;RRT14;35.23157103;34.60029742;22.53564601;31.08016397
YIL128W;MET18;30.33219624;26.10682127;28.19325335;28.71724959
YIL129C;TAO3;59.12567963;33.74078861;41.07548537;39.63428576
YIL130W;ASG1;50.42239953;25.31054723;19.47574727;34.89102052
YIL131C;FKH1;34.23378502;25.68441152;25.19643295;30.56032354
YIL132C;CSM2;8.171122762;6.692997934;4.343169177;7.873649889
YIL133C;RPL16A;254.6768595;191.2433317;130.4275953;273.8600831
YIL134C-A;YIL134C-A;1.557984748;1.903479731;0.984101519;1.458913286
YIL134W;FLX1;20.07568284;19.94153258;15.83828612;27.30790416
YIL135C;VHS2;78.73950019;29.46256842;20.85726256;39.39694096
YIL136W;OM45;69.49488844;305.4385365;391.5975407;46.03059768
YIL137C;TMA108;57.48569924;31.20734434;28.16073095;32.07834828
YIL138C;TPM2;162.2037299;139.8441081;150.3115837;128.3079112
YIL139C;REV7;10.38464769;15.96402342;11.54633765;12.59106202
